year,state,count_type,count
2018,Delaware,Sheltered Total Homeless,989.0
2018,Florida,Sheltered Total Homeless,17637.0
2018,Georgia,Sheltered Total Homeless,5900.0
2018,GU,Sheltered Total Homeless,127.0
2018,Hawaii,Sheltered Total Homeless,3055.0
2018,Iowa,Sheltered Total Homeless,2508.0
2018,Idaho,Sheltered Total Homeless,1289.0
2018,Illinois,Sheltered Total Homeless,8701.0
2018,Indiana,Sheltered Total Homeless,4679.0
2018,Kansas,Sheltered Total Homeless,1859.0
2018,Kentucky,Sheltered Total Homeless,2820.0
2018,Louisiana,Sheltered Total Homeless,1994.0
2018,Massachusetts,Sheltered Total Homeless,19083.0
2018,Maryland,Sheltered Total Homeless,5380.0
2018,Maine,Sheltered Total Homeless,2418.0
2018,Michigan,Sheltered Total Homeless,7452.0
2018,Minnesota,Sheltered Total Homeless,6122.0
2018,Missouri,Sheltered Total Homeless,4669.0
2018,MP,Sheltered Total Homeless,22.0
2018,Mississippi,Sheltered Total Homeless,731.0
2018,Montana,Sheltered Total Homeless,1032.0
2018,North Carolina,Sheltered Total Homeless,6818.0
2018,North Dakota,Sheltered Total Homeless,494.0
2018,Nebraska,Sheltered Total Homeless,2277.0
2018,New Hampshire,Sheltered Total Homeless,1296.0
2018,New Jersey,Sheltered Total Homeless,7775.0
2018,New Mexico,Sheltered Total Homeless,1755.0
2018,Nevada,Sheltered Total Homeless,3305.0
2018,New York,Sheltered Total Homeless,87603.0
2018,Ohio,Sheltered Total Homeless,8934.0
2018,Oklahoma,Sheltered Total Homeless,2680.0
2018,Oregon,Sheltered Total Homeless,5551.0
2018,Pennsylvania,Sheltered Total Homeless,11768.0
2018,PR,Sheltered Total Homeless,670.0
2018,Rhode Island,Sheltered Total Homeless,1050.0
2018,South Carolina,Sheltered Total Homeless,2589.0
2018,South Dakota,Sheltered Total Homeless,874.0
2018,Tennessee,Sheltered Total Homeless,5028.0
2018,Texas,Sheltered Total Homeless,14776.0
2018,Utah,Sheltered Total Homeless,2456.0
2018,Virginia,Sheltered Total Homeless,5060.0
2018,VI,Sheltered Total Homeless,179.0
2018,Vermont,Sheltered Total Homeless,1209.0
2018,Washington,Sheltered Total Homeless,11683.0
2018,Wisconsin,Sheltered Total Homeless,4525.0
2018,West Virginia,Sheltered Total Homeless,1060.0
2018,Wyoming,Sheltered Total Homeless,440.0
2018,Total,Sheltered Total Homeless,358363.0
2018,Alaska,Unsheltered Homeless,309.0
2018,Alabama,Unsheltered Homeless,1010.0
2018,Arkansas,Unsheltered Homeless,1257.0
2018,Arizona,Unsheltered Homeless,4066.0
2018,California,Unsheltered Homeless,89543.0
2018,Colorado,Unsheltered Homeless,4329.0
2018,Connecticut,Unsheltered Homeless,581.0
2018,DC,Unsheltered Homeless,600.0
2018,Delaware,Unsheltered Homeless,93.0
2018,Florida,Unsheltered Homeless,13393.0
2018,Georgia,Unsheltered Homeless,3599.0
2018,GU,Unsheltered Homeless,727.0
2018,Hawaii,Unsheltered Homeless,3475.0
2018,Iowa,Unsheltered Homeless,241.0
2018,Idaho,Unsheltered Homeless,723.0
2018,Illinois,Unsheltered Homeless,1942.0
2018,Indiana,Unsheltered Homeless,579.0
2018,Kansas,Unsheltered Homeless,357.0
2018,Kentucky,Unsheltered Homeless,868.0
2018,Louisiana,Unsheltered Homeless,1065.0
2018,Massachusetts,Unsheltered Homeless,985.0
2018,Maryland,Unsheltered Homeless,1764.0
2018,Maine,Unsheltered Homeless,98.0
2018,Michigan,Unsheltered Homeless,899.0
2018,Minnesota,Unsheltered Homeless,1121.0
2018,Missouri,Unsheltered Homeless,1214.0
2018,MP,Unsheltered Homeless,1022.0
2018,Mississippi,Unsheltered Homeless,621.0
2018,Montana,Unsheltered Homeless,373.0
2018,North Carolina,Unsheltered Homeless,2450.0
2018,North Dakota,Unsheltered Homeless,48.0
2018,Nebraska,Unsheltered Homeless,144.0
2018,New Hampshire,Unsheltered Homeless,154.0
2018,New Jersey,Unsheltered Homeless,1623.0
2018,New Mexico,Unsheltered Homeless,796.0
2018,Nevada,Unsheltered Homeless,4239.0
2018,New York,Unsheltered Homeless,4294.0
2018,Ohio,Unsheltered Homeless,1315.0
2018,Oklahoma,Unsheltered Homeless,1191.0
2018,Oregon,Unsheltered Homeless,8925.0
2018,Pennsylvania,Unsheltered Homeless,1744.0
2018,PR,Unsheltered Homeless,2512.0
2018,Rhode Island,Unsheltered Homeless,51.0
2018,South Carolina,Unsheltered Homeless,1344.0
2018,South Dakota,Unsheltered Homeless,285.0
2018,Tennessee,Unsheltered Homeless,2855.0
2018,Texas,Unsheltered Homeless,10534.0
2018,Utah,Unsheltered Homeless,420.0
2018,Virginia,Unsheltered Homeless,915.0
2018,VI,Unsheltered Homeless,307.0
2018,Vermont,Unsheltered Homeless,82.0
2018,Washington,Unsheltered Homeless,10621.0
2018,Wisconsin,Unsheltered Homeless,382.0
2018,West Virginia,Unsheltered Homeless,183.0
2018,Wyoming,Unsheltered Homeless,199.0
2018,Total,Unsheltered Homeless,194467.0
2018,Alaska,Homeless Individuals,1434.0
2018,Alabama,Homeless Individuals,2570.0
2018,Arkansas,Homeless Individuals,2280.0
2018,Arizona,Homeless Individuals,7259.0
2018,California,Homeless Individuals,109008.0
2018,Colorado,Homeless Individuals,7607.0
2018,Connecticut,Homeless Individuals,2280.0
2018,DC,Homeless Individuals,3770.0
2018,Delaware,Homeless Individuals,708.0
2018,Florida,Homeless Individuals,21443.0
2018,Georgia,Homeless Individuals,6943.0
2018,GU,Homeless Individuals,209.0
2018,Hawaii,Homeless Individuals,4131.0
2018,Iowa,Homeless Individuals,1711.0
2018,Idaho,Homeless Individuals,1297.0
2018,Illinois,Homeless Individuals,6752.0
2018,Indiana,Homeless Individuals,3776.0
2018,Kansas,Homeless Individuals,1443.0
2018,Kentucky,Homeless Individuals,2735.0
2018,Louisiana,Homeless Individuals,2540.0
2018,Massachusetts,Homeless Individuals,6811.0
2018,Maryland,Homeless Individuals,4914.0
2018,Maine,Homeless Individuals,1450.0
2018,Michigan,Homeless Individuals,5209.0
2018,Minnesota,Homeless Individuals,3993.0
2018,Missouri,Homeless Individuals,3776.0
2018,MP,Homeless Individuals,357.0
2018,Mississippi,Homeless Individuals,1024.0
2018,Montana,Homeless Individuals,983.0
2018,North Carolina,Homeless Individuals,6451.0
2018,North Dakota,Homeless Individuals,467.0
2018,Nebraska,Homeless Individuals,1745.0
2018,New Hampshire,Homeless Individuals,835.0
2018,New Jersey,Homeless Individuals,6048.0
2018,New Mexico,Homeless Individuals,1949.0
2018,Nevada,Homeless Individuals,7058.0
2018,New York,Homeless Individuals,39827.0
2018,Ohio,Homeless Individuals,6929.0
2018,Oklahoma,Homeless Individuals,2823.0
2018,Oregon,Homeless Individuals,11139.0
2018,Pennsylvania,Homeless Individuals,8163.0
2018,PR,Homeless Individuals,2921.0
2018,Rhode Island,Homeless Individuals,747.0
2018,South Carolina,Homeless Individuals,3082.0
2018,South Dakota,Homeless Individuals,836.0
2018,Tennessee,Homeless Individuals,6139.0
2018,Texas,Homeless Individuals,19199.0
2018,Utah,Homeless Individuals,1904.0
2018,Virginia,Homeless Individuals,3928.0
2018,VI,Homeless Individuals,415.0
2018,Vermont,Homeless Individuals,780.0
2018,Washington,Homeless Individuals,16424.0
2018,Wisconsin,Homeless Individuals,2740.0
2018,West Virginia,Homeless Individuals,1021.0
2018,Wyoming,Homeless Individuals,434.0
2018,Total,Homeless Individuals,372417.0
2018,Alaska,Sheltered ES Homeless Individuals,953.0
2018,Alabama,Sheltered ES Homeless Individuals,1057.0
2018,Arkansas,Sheltered ES Homeless Individuals,708.0
2018,Arizona,Sheltered ES Homeless Individuals,2327.0
2018,California,Sheltered ES Homeless Individuals,16507.0
2018,Colorado,Sheltered ES Homeless Individuals,3317.0
2018,Connecticut,Sheltered ES Homeless Individuals,1451.0
2018,DC,Sheltered ES Homeless Individuals,2472.0
2018,Delaware,Sheltered ES Homeless Individuals,460.0
2018,Florida,Sheltered ES Homeless Individuals,7031.0
2018,Georgia,Sheltered ES Homeless Individuals,2002.0
2018,GU,Sheltered ES Homeless Individuals,19.0
2018,Hawaii,Sheltered ES Homeless Individuals,832.0
2018,Iowa,Sheltered ES Homeless Individuals,1035.0
2018,Idaho,Sheltered ES Homeless Individuals,647.0
2018,Illinois,Sheltered ES Homeless Individuals,3746.0
2018,Indiana,Sheltered ES Homeless Individuals,2376.0
2018,Kansas,Sheltered ES Homeless Individuals,880.0
2018,Kentucky,Sheltered ES Homeless Individuals,1650.0
2018,Louisiana,Sheltered ES Homeless Individuals,839.0
2018,Massachusetts,Sheltered ES Homeless Individuals,4394.0
2018,Maryland,Sheltered ES Homeless Individuals,2298.0
2018,Maine,Sheltered ES Homeless Individuals,644.0
2018,Michigan,Sheltered ES Homeless Individuals,3426.0
2018,Minnesota,Sheltered ES Homeless Individuals,2168.0
2018,Missouri,Sheltered ES Homeless Individuals,1920.0
2018,MP,Sheltered ES Homeless Individuals,22.0
2018,Mississippi,Sheltered ES Homeless Individuals,261.0
2018,Montana,Sheltered ES Homeless Individuals,541.0
2018,North Carolina,Sheltered ES Homeless Individuals,3577.0
2018,North Dakota,Sheltered ES Homeless Individuals,306.0
2018,Nebraska,Sheltered ES Homeless Individuals,1272.0
2018,New Hampshire,Sheltered ES Homeless Individuals,543.0
2018,New Jersey,Sheltered ES Homeless Individuals,3436.0
2018,New Mexico,Sheltered ES Homeless Individuals,1021.0
2018,Nevada,Sheltered ES Homeless Individuals,1821.0
2018,New York,Sheltered ES Homeless Individuals,31571.0
2018,Ohio,Sheltered ES Homeless Individuals,4770.0
2018,Oklahoma,Sheltered ES Homeless Individuals,1510.0
2018,Oregon,Sheltered ES Homeless Individuals,2822.0
2018,Pennsylvania,Sheltered ES Homeless Individuals,4539.0
2018,PR,Sheltered ES Homeless Individuals,313.0
2018,Rhode Island,Sheltered ES Homeless Individuals,557.0
2018,South Carolina,Sheltered ES Homeless Individuals,1572.0
2018,South Dakota,Sheltered ES Homeless Individuals,476.0
2018,Tennessee,Sheltered ES Homeless Individuals,2792.0
2018,Texas,Sheltered ES Homeless Individuals,7299.0
2018,Utah,Sheltered ES Homeless Individuals,1224.0
2018,Virginia,Sheltered ES Homeless Individuals,2784.0
2018,VI,Sheltered ES Homeless Individuals,77.0
2018,Vermont,Sheltered ES Homeless Individuals,581.0
2018,Washington,Sheltered ES Homeless Individuals,5103.0
2018,Wisconsin,Sheltered ES Homeless Individuals,1897.0
2018,West Virginia,Sheltered ES Homeless Individuals,697.0
2018,Wyoming,Sheltered ES Homeless Individuals,221.0
2018,Total,Sheltered ES Homeless Individuals,148764.0
2018,Alaska,Sheltered TH Homeless Individuals,220.0
2018,Alabama,Sheltered TH Homeless Individuals,596.0
2018,Arkansas,Sheltered TH Homeless Individuals,367.0
2018,Arizona,Sheltered TH Homeless Individuals,987.0
2018,California,Sheltered TH Homeless Individuals,6911.0
2018,Colorado,Sheltered TH Homeless Individuals,963.0
2018,Connecticut,Sheltered TH Homeless Individuals,248.0
2018,DC,Sheltered TH Homeless Individuals,698.0
2018,Delaware,Sheltered TH Homeless Individuals,150.0
2018,Florida,Sheltered TH Homeless Individuals,3526.0
2018,Georgia,Sheltered TH Homeless Individuals,1555.0
2018,GU,Sheltered TH Homeless Individuals,3.0
2018,Hawaii,Sheltered TH Homeless Individuals,383.0
2018,Iowa,Sheltered TH Homeless Individuals,433.0
2018,Idaho,Sheltered TH Homeless Individuals,125.0
2018,Illinois,Sheltered TH Homeless Individuals,1057.0
2018,Indiana,Sheltered TH Homeless Individuals,738.0
2018,Kansas,Sheltered TH Homeless Individuals,213.0
2018,Kentucky,Sheltered TH Homeless Individuals,306.0
2018,Louisiana,Sheltered TH Homeless Individuals,627.0
2018,Massachusetts,Sheltered TH Homeless Individuals,1354.0
2018,Maryland,Sheltered TH Homeless Individuals,1007.0
2018,Maine,Sheltered TH Homeless Individuals,700.0
2018,Michigan,Sheltered TH Homeless Individuals,892.0
2018,Minnesota,Sheltered TH Homeless Individuals,835.0
2018,Missouri,Sheltered TH Homeless Individuals,676.0
2018,MP,Sheltered TH Homeless Individuals,0.0
2018,Mississippi,Sheltered TH Homeless Individuals,200.0
2018,Montana,Sheltered TH Homeless Individuals,141.0
2018,North Carolina,Sheltered TH Homeless Individuals,944.0
2018,North Dakota,Sheltered TH Homeless Individuals,113.0
2018,Nebraska,Sheltered TH Homeless Individuals,336.0
2018,New Hampshire,Sheltered TH Homeless Individuals,142.0
2018,New Jersey,Sheltered TH Homeless Individuals,1015.0
2018,New Mexico,Sheltered TH Homeless Individuals,210.0
2018,Nevada,Sheltered TH Homeless Individuals,851.0
2018,New York,Sheltered TH Homeless Individuals,3895.0
2018,Ohio,Sheltered TH Homeless Individuals,871.0
2018,Oklahoma,Sheltered TH Homeless Individuals,321.0
2018,Oregon,Sheltered TH Homeless Individuals,1197.0
2018,Pennsylvania,Sheltered TH Homeless Individuals,1630.0
2018,PR,Sheltered TH Homeless Individuals,251.0
2018,Rhode Island,Sheltered TH Homeless Individuals,141.0
2018,South Carolina,Sheltered TH Homeless Individuals,381.0
2018,South Dakota,Sheltered TH Homeless Individuals,122.0
2018,Tennessee,Sheltered TH Homeless Individuals,1050.0
2018,Texas,Sheltered TH Homeless Individuals,1554.0
2018,Utah,Sheltered TH Homeless Individuals,262.0
2018,Virginia,Sheltered TH Homeless Individuals,264.0
2018,VI,Sheltered TH Homeless Individuals,31.0
2018,Vermont,Sheltered TH Homeless Individuals,130.0
2018,Washington,Sheltered TH Homeless Individuals,1375.0
2018,Wisconsin,Sheltered TH Homeless Individuals,419.0
2018,West Virginia,Sheltered TH Homeless Individuals,135.0
2018,Wyoming,Sheltered TH Homeless Individuals,78.0
2018,Total,Sheltered TH Homeless Individuals,43629.0
2018,Alaska,Sheltered SH Homeless Individuals,0.0
2018,Alabama,Sheltered SH Homeless Individuals,40.0
2018,Arkansas,Sheltered SH Homeless Individuals,6.0
2018,Arizona,Sheltered SH Homeless Individuals,40.0
2018,California,Sheltered SH Homeless Individuals,217.0
2018,Colorado,Sheltered SH Homeless Individuals,22.0
2018,Connecticut,Sheltered SH Homeless Individuals,0.0
2018,DC,Sheltered SH Homeless Individuals,0.0
2018,Delaware,Sheltered SH Homeless Individuals,5.0
2018,Florida,Sheltered SH Homeless Individuals,129.0
2018,Georgia,Sheltered SH Homeless Individuals,0.0
2018,GU,Sheltered SH Homeless Individuals,0.0
2018,Hawaii,Sheltered SH Homeless Individuals,0.0
2018,Iowa,Sheltered SH Homeless Individuals,23.0
2018,Idaho,Sheltered SH Homeless Individuals,0.0
2018,Illinois,Sheltered SH Homeless Individuals,73.0
2018,Indiana,Sheltered SH Homeless Individuals,91.0
2018,Kansas,Sheltered SH Homeless Individuals,4.0
2018,Kentucky,Sheltered SH Homeless Individuals,0.0
2018,Louisiana,Sheltered SH Homeless Individuals,36.0
2018,Massachusetts,Sheltered SH Homeless Individuals,80.0
2018,Maryland,Sheltered SH Homeless Individuals,77.0
2018,Maine,Sheltered SH Homeless Individuals,15.0
2018,Michigan,Sheltered SH Homeless Individuals,72.0
2018,Minnesota,Sheltered SH Homeless Individuals,16.0
2018,Missouri,Sheltered SH Homeless Individuals,38.0
2018,MP,Sheltered SH Homeless Individuals,0.0
2018,Mississippi,Sheltered SH Homeless Individuals,0.0
2018,Montana,Sheltered SH Homeless Individuals,0.0
2018,North Carolina,Sheltered SH Homeless Individuals,0.0
2018,North Dakota,Sheltered SH Homeless Individuals,0.0
2018,Nebraska,Sheltered SH Homeless Individuals,0.0
2018,New Hampshire,Sheltered SH Homeless Individuals,8.0
2018,New Jersey,Sheltered SH Homeless Individuals,19.0
2018,New Mexico,Sheltered SH Homeless Individuals,0.0
2018,Nevada,Sheltered SH Homeless Individuals,201.0
2018,New York,Sheltered SH Homeless Individuals,96.0
2018,Ohio,Sheltered SH Homeless Individuals,92.0
2018,Oklahoma,Sheltered SH Homeless Individuals,17.0
2018,Oregon,Sheltered SH Homeless Individuals,8.0
2018,Pennsylvania,Sheltered SH Homeless Individuals,280.0
2018,PR,Sheltered SH Homeless Individuals,16.0
2018,Rhode Island,Sheltered SH Homeless Individuals,0.0
2018,South Carolina,Sheltered SH Homeless Individuals,15.0
2018,South Dakota,Sheltered SH Homeless Individuals,0.0
2018,Tennessee,Sheltered SH Homeless Individuals,11.0
2018,Texas,Sheltered SH Homeless Individuals,64.0
2018,Utah,Sheltered SH Homeless Individuals,0.0
2018,Virginia,Sheltered SH Homeless Individuals,18.0
2018,VI,Sheltered SH Homeless Individuals,0.0
2018,Vermont,Sheltered SH Homeless Individuals,0.0
2018,Washington,Sheltered SH Homeless Individuals,41.0
2018,Wisconsin,Sheltered SH Homeless Individuals,67.0
2018,West Virginia,Sheltered SH Homeless Individuals,10.0
